Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
0.0,128.181881,37.923646,7000.146528,0.0,-0.003,0.0
0.0167,128.181881,37.923691,7000.1605488000005,0.0,-0.012,0.0
0.0334,128.181881,37.923736,7000.1733504,0.087,-0.013,0.011
0.0501,128.181881,37.923781,7000.1843232,0.258,0.007,0.034
0.0668,128.181881,37.923826,7000.1940768,0.516,0.063,0.064
0.0834,128.181881,37.92387,7000.20444,0.69,0.166,0.076
0.1002,128.181881,37.923915,7000.2157176,0.783,0.328,0.067
0.1169,128.181881,37.92396,7000.228519200001,0.79,0.557,0.045
0.1336,128.181881,37.924005,7000.2443688,0.702,0.86,0.017
0.1503,128.181881,37.92405,7000.263876,0.519,1.239,359.985
0.1669,128.181881,37.924095,7000.2876504000005,0.239,1.681,359.951
0.1837,128.181881,37.92414,7000.314472800001,0.04,2.173,359.94
0.2004,128.181881,37.924185,7000.3452576,-0.081,2.703,359.951
0.2171,128.181881,37.92423,7000.3800048,-0.116,3.251,359.976
0.2338,128.181881,37.924275,7000.418714400001,-0.058,3.803,0.008
0.2505,128.181881,37.92432,7000.4616912,0.095,4.34,0.045
0.2672,128.181881,37.924365,7000.5089352,0.344,4.847,0.083
0.2839,128.181881,37.92441,7000.5622752,0.514,5.32,0.1
0.3006,128.181881,37.924455,7000.6223208,0.609,5.762,0.095
0.3172,128.181881,37.9245,7000.6896816,0.619,6.175,0.076
0.3339,128.181881,37.924545,7000.765272000001,0.539,6.562,0.049
0.3507,128.181881,37.92459,7000.849701600001,0.369,6.924,0.017
0.3674,128.181881,37.924635,7000.9432752,0.109,7.265,359.983
0.3841,128.181881,37.92468,7001.044773600001,-0.074,7.586,359.97
0.4008,128.181881,37.924724,7001.155111200001,-0.183,7.888,359.977
0.4175,128.181881,37.924769,7001.272764,-0.212,8.158,359.997
0.4342,128.181881,37.924814,7001.3980368,-0.156,8.38,0.026
0.4509,128.181881,37.924859,7001.529710400001,-0.012,8.541,0.06
0.4676,128.181881,37.924904,7001.6677848,0.217,8.625,0.095
0.4843,128.181881,37.924949,7001.8140888,0.373,8.649,0.109
0.501,128.181881,37.924994,7001.967708,0.458,8.626,0.103
0.5176,128.181881,37.925039,7002.1295568000005,0.465,8.573,0.083
0.5344,128.181881,37.925084,7002.2996352,0.389,8.504,0.055
0.5511,128.181881,37.925129,7002.478247999999,0.227,8.434,0.022
0.5678,128.181881,37.925174,7002.6657000000005,-0.02,8.377,359.986
0.5845,128.181881,37.925218,7002.862905600001,-0.355,8.346,359.95
0.6012,128.181881,37.925263,7003.0674264,-0.61,8.353,359.934
0.6179,128.181881,37.925308,7003.279872,-0.79,8.386,359.939
0.6345,128.181881,37.925353,7003.499023200001,-0.886,8.435,359.958
0.6513,128.181881,37.925398,7003.72488,-0.895,8.486,359.986
0.6679,128.181881,37.925443,7003.9598808,-0.977,8.552,359.996
0.6847,128.181881,37.925488,7004.2031112,-1.128,8.645,359.986
0.7014,128.181881,37.925532,7004.4554856,-1.353,8.775,359.963
0.7181,128.181881,37.925577,7004.717918400001,-1.658,8.946,359.929
0.7348,128.181881,37.925622,7004.9898,-2.044,9.148,359.889
0.7514,128.181881,37.925667,7005.272654400001,-2.512,9.375,359.845
0.7682,128.181881,37.925711,7005.5661768,-3.06,9.619,359.797
0.7848,128.181881,37.925756,7005.871281600001,-3.685,9.872,359.747
0.8016,128.181881,37.925801,7006.188273600001,-4.386,10.129,359.693
0.8183,128.181881,37.925846,7006.516543199999,-5.16,10.387,359.637
0.835,128.181881,37.92589,7006.8567,-6.004,10.642,359.577
0.8517,128.181881,37.925935,7007.2084392,-6.915,10.893,359.514
0.8684,128.181881,37.925979,7007.572370400001,-7.89,11.138,359.447
0.8851,128.181881,37.926024,7007.9481888,-8.928,11.376,359.377
0.9018,128.181881,37.926069,7008.3361992,-10.027,11.608,359.302
0.9185,128.181881,37.926113,7008.7360968,-11.184,11.833,359.222
0.9352,128.18188,37.926158,7009.1478816,-12.397,12.052,359.138
0.9519,128.18188,37.926202,7009.5721632,-13.666,12.263,359.049
0.9686,128.18188,37.926247,7010.008332,-14.988,12.468,358.954
0.9853,128.18188,37.926291,7010.4563880000005,-16.363,12.667,358.854
1.002,128.181879,37.926336,7010.916636,-17.789,12.86,358.749
1.0187,128.181879,37.92638,7011.3884664,-19.265,13.046,358.637
1.0353,128.181878,37.926425,7011.8724888,-20.79,13.227,358.519
1.0521,128.181878,37.926469,7012.3680936,-22.364,13.402,358.395
1.0688,128.181877,37.926513,7012.8752808,-23.986,13.571,358.265
1.0855,128.181877,37.926558,7013.3940504,-25.655,13.735,358.127
1.1022,128.181876,37.926602,7013.923792800001,-27.37,13.894,357.983
1.1189,128.181875,37.926646,7014.4648128,-29.132,14.047,357.831
1.1356,128.181875,37.92669,7015.0165008,-30.939,14.195,357.672
1.1522,128.181874,37.926735,7015.5791616,-32.792,14.337,357.505
1.169,128.181873,37.926779,7016.1518808,-34.69,14.473,357.331
1.1857,128.181871,37.926823,7016.7349632000005,-36.632,14.603,357.149
1.2024,128.18187,37.926867,7017.3277992,-38.62,14.728,356.958
1.2191,128.181869,37.926911,7017.9300840000005,-40.651,14.846,356.759
