Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
0.0,128.181881,37.923646,7000.146528,0.0,-0.003,0.0
0.01,128.181881,37.923691,7000.1605488000005,0.0,-0.012,0.0
0.02,128.181881,37.923736,7000.173960000001,0.0,-0.025,0.0
0.03,128.181881,37.923781,7000.186152000001,0.0,-0.039,0.0
0.04,128.181881,37.923826,7000.1977344,0.0,-0.055,0.0
0.05,128.181881,37.923871,7000.2084024,0.0,-0.071,0.0
0.06,128.181881,37.923916,7000.218156000001,0.0,-0.086,0.0
0.07,128.181881,37.923961,7000.226995200001,0.0,-0.101,0.0
0.08,128.181881,37.924006,7000.235224800001,0.0,-0.114,0.0
0.09,128.181881,37.924051,7000.2422352,0.0,-0.126,0.0
0.1,128.181881,37.924096,7000.248636,0.0,-0.136,0.0
0.11,128.181881,37.924141,7000.254122400001,0.0,-0.145,0.0
0.12,128.181881,37.924186,7000.2589992,0.0,-0.152,0.0
0.13,128.181881,37.924231,7000.2626568000005,0.0,-0.158,0.0
0.14,128.181881,37.924276,7000.2657048,0.0,-0.163,0.0
0.15,128.181881,37.924321,7000.267838400001,0.0,-0.167,0.0
0.16,128.181881,37.924366,7000.2693624,0.0,-0.17,0.0
0.17,128.181881,37.924411,7000.269972,0.0,-0.172,0.0
0.18,128.181881,37.924456,7000.2696672,0.0,-0.174,0.0
0.19,128.181881,37.924501,7000.2687528,0.0,-0.176,0.0
0.2,128.181881,37.924546,7000.2669240000005,0.0,-0.177,0.0
0.21,128.181881,37.924591,7000.2641808,0.0,-0.178,0.0
0.22,128.181881,37.924636,7000.260828,0.001,-0.18,0.0
0.23,128.181881,37.924682,7000.256865600001,0.001,-0.181,0.0
0.24,128.181881,37.924727,7000.2519888,0.001,-0.182,0.0
0.25,128.181881,37.924772,7000.2465024,0.001,-0.184,0.0
0.26,128.181881,37.924817,7000.240406400001,0.001,-0.186,0.0
0.27,128.181881,37.924862,7000.2333960000005,0.001,-0.187,0.0
0.28,128.181881,37.924907,7000.225776,0.001,-0.189,0.0
0.28,128.181881,37.924952,7000.2172416,0.001,-0.191,0.0
0.3,128.181881,37.924998,7000.2084024,0.002,-0.194,0.0
0.31,128.181881,37.925043,7000.1986488,0.002,-0.196,0.0
0.32,128.181881,37.925088,7000.1882856,0.002,-0.198,0.0
0.33,128.181881,37.925133,7000.177008,0.002,-0.201,0.0
0.34,128.181881,37.925179,7000.1654256,0.002,-0.203,0.0
0.35,128.181881,37.925224,7000.152928800001,0.002,-0.206,0.0
0.36,128.181881,37.925269,7000.1401272,0.003,-0.208,0.0
0.37,128.181881,37.925314,7000.126411200001,0.003,-0.211,0.0
0.38,128.181881,37.92536,7000.1120856,0.003,-0.213,0.0
0.39,128.181881,37.925405,7000.097150400001,0.003,-0.215,0.0
0.4,128.181881,37.92545,7000.0816056,0.003,-0.218,0.0
0.41,128.181881,37.925495,7000.065451200001,0.004,-0.22,0.0
0.42,128.181881,37.925541,7000.048992000001,0.004,-0.222,0.0
0.43,128.181881,37.925586,7000.0316184,0.004,-0.225,0.0
0.44,128.181881,37.925631,7000.0136352,0.004,-0.227,0.0
0.45,128.181881,37.925677,6999.995042400001,0.004,-0.229,0.0
0.46,128.181881,37.925722,6999.9761448,0.005,-0.231,0.0
0.47,128.181881,37.925767,6999.9563328,0.005,-0.234,0.0
0.48,128.181881,37.925813,6999.936216,0.005,-0.236,0.001
0.49,128.181881,37.925858,6999.9154896,0.005,-0.238,0.001
0.5,128.181881,37.925903,6999.8941536,0.006,-0.24,0.001
0.51,128.181881,37.925949,6999.872512800001,0.006,-0.242,0.001
0.52,128.181881,37.925994,6999.8499576,0.006,-0.244,0.001
0.53,128.181881,37.92604,6999.827097600001,0.007,-0.246,0.001
0.54,128.181881,37.926085,6999.803628000001,0.007,-0.248,0.001
0.55,128.181881,37.92613,6999.7798536,0.007,-0.251,0.001
0.56,128.181881,37.926176,6999.755164800001,0.007,-0.253,0.001
0.57,128.181881,37.926221,6999.7301712,0.008,-0.255,0.001
0.57,128.181881,37.926267,6999.7048728,0.008,-0.257,0.001
0.59,128.181881,37.926312,6999.6789648,0.008,-0.259,0.001
0.6,128.181881,37.926358,6999.652447200001,0.009,-0.261,0.001
0.61,128.181881,37.926403,6999.625320000001,0.009,-0.263,0.001
0.62,128.181881,37.926449,6999.597888000001,0.009,-0.265,0.001
0.63,128.181881,37.926494,6999.5701512000005,0.01,-0.267,0.001
0.64,128.181881,37.92654,6999.5418048,0.01,-0.268,0.001
0.65,128.181881,37.926585,6999.5128488,0.01,-0.27,0.001
0.66,128.181881,37.926631,6999.483588000001,0.011,-0.272,0.001
0.67,128.181881,37.926676,6999.4537176,0.011,-0.274,0.001
0.68,128.181881,37.926722,6999.423542400001,0.011,-0.276,0.001
0.69,128.181881,37.926767,6999.3927576,0.011,-0.278,0.001
0.7,128.181881,37.926813,6999.3616680000005,0.012,-0.28,0.001
0.71,128.181881,37.926858,6999.3302736000005,0.012,-0.282,0.001
0.72,128.181881,37.926904,6999.298269600001,0.013,-0.283,0.001
0.73,128.181881,37.926949,6999.2659608,0.013,-0.285,0.001
0.74,128.181881,37.926995,6999.233042400001,0.013,-0.287,0.001
0.75,128.181881,37.927041,6999.199819200001,0.014,-0.289,0.001
0.76,128.181881,37.927086,6999.1662912,0.014,-0.29,0.001
0.77,128.181881,37.927132,6999.1321536000005,0.014,-0.292,0.001
0.78,128.181881,37.927178,6999.097711200001,0.015,-0.294,0.001
0.79,128.181881,37.927223,6999.062964000001,0.015,-0.296,0.001
0.8,128.181881,37.927269,6999.027912,0.016,-0.297,0.001
0.81,128.181881,37.927314,6998.992250400001,0.016,-0.299,0.001
0.82,128.181881,37.92736,6998.956284000001,0.016,-0.301,0.001
0.83,128.181881,37.927406,6998.919708,0.017,-0.303,0.001
0.84,128.181881,37.927452,6998.883132000001,0.017,-0.304,0.001
0.85,128.181881,37.927497,6998.845946400001,0.018,-0.306,0.001
0.86,128.181881,37.927543,6998.808456000001,0.018,-0.308,0.001
0.87,128.181881,37.927589,6998.770660800001,0.019,-0.309,0.001
0.88,128.181881,37.927634,6998.732560800001,0.019,-0.311,0.001
0.89,128.181881,37.92768,6998.693851200001,0.019,-0.313,0.001
0.9,128.181881,37.927726,6998.6548368,0.02,-0.314,0.001
0.91,128.181881,37.927772,6998.6158224,0.02,-0.316,0.001
0.92,128.181881,37.927817,6998.5761984,0.021,-0.317,0.001
0.93,128.181881,37.927863,6998.536269600001,0.021,-0.319,0.001
0.94,128.181881,37.927909,6998.4960360000005,0.022,-0.32,0.001
0.95,128.181881,37.927955,6998.455192800001,0.022,-0.322,0.001
0.96,128.181881,37.928,6998.414349600001,0.023,-0.324,0.001
0.97,128.181881,37.928046,6998.3732016,0.023,-0.325,0.001
0.98,128.181881,37.928092,6998.331444,0.024,-0.327,0.001
0.99,128.181881,37.928138,6998.2896864,0.024,-0.328,0.001
1.0,128.181881,37.928184,6998.2476240000005,0.025,-0.33,0.001
1.01,128.181881,37.92823,6998.204952000001,0.025,-0.331,0.001
1.02,128.181881,37.928275,6998.16228,0.026,-0.333,0.001
1.03,128.181881,37.928321,6998.1189984,0.026,-0.334,0.001
1.04,128.181881,37.928367,6998.0757168,0.027,-0.336,0.001
1.05,128.181881,37.928413,6998.0318256,0.028,-0.337,0.001
1.06,128.181881,37.928459,6997.9879344,0.028,-0.339,0.001
1.07,128.181881,37.928505,6997.943738400001,0.029,-0.34,0.001
1.08,128.181881,37.928551,6997.899237600001,0.029,-0.342,0.001
1.09,128.181881,37.928597,6997.8541272,0.03,-0.343,0.001
1.1,128.181881,37.928643,6997.8090168,0.03,-0.344,0.001
1.11,128.181881,37.928689,6997.763601600001,0.031,-0.346,0.001
1.12,128.181881,37.928735,6997.7181864,0.031,-0.347,0.001
1.13,128.181881,37.928781,6997.6721615999995,0.032,-0.349,0.001
1.14,128.181881,37.928827,6997.625832000001,0.033,-0.35,0.002
1.15,128.181881,37.928873,6997.5795024,0.033,-0.351,0.002
1.15,128.181881,37.928918,6997.5325632,0.034,-0.353,0.002
1.17,128.181881,37.928965,6997.485624000001,0.034,-0.354,0.002
1.18,128.181881,37.929011,6997.43838,0.035,-0.356,0.002
1.19,128.181881,37.929057,6997.3908312,0.036,-0.357,0.002
1.2,128.181881,37.929103,6997.3432824,0.036,-0.359,0.002
1.21,128.181881,37.929149,6997.295124,0.037,-0.36,0.002
1.22,128.181881,37.929195,6997.246965600001,0.038,-0.361,0.002
1.23,128.181881,37.929241,6997.1985024,0.038,-0.363,0.002
1.24,128.181881,37.929287,6997.1497344,0.039,-0.364,0.002
1.25,128.181881,37.929333,6997.1009664,0.039,-0.366,0.002
1.26,128.181881,37.929379,6997.0515888,0.04,-0.367,0.002
1.27,128.181881,37.929425,6997.002211200001,0.041,-0.368,0.002
1.28,128.181881,37.929471,6996.952833600001,0.041,-0.37,0.002
1.29,128.181881,37.929517,6996.9028464,0.042,-0.371,0.002
1.3,128.181881,37.929563,6996.8528592,0.042,-0.372,0.002
1.31,128.181881,37.92961,6996.8025672,0.043,-0.373,0.002
1.32,128.181882,37.929656,6996.751970400001,0.044,-0.375,0.001
1.33,128.181882,37.929702,6996.701373600001,0.044,-0.376,0.001
1.34,128.181882,37.929748,6996.650472,0.045,-0.377,0.001
1.35,128.181882,37.929794,6996.599265600001,0.045,-0.379,0.002
1.36,128.181882,37.92984,6996.5477544000005,0.046,-0.38,0.002
1.37,128.181882,37.929887,6996.4962432,0.047,-0.381,0.002
1.38,128.181882,37.929933,6996.4444272,0.047,-0.382,0.002
1.39,128.181882,37.929979,6996.392611200001,0.048,-0.383,0.002
1.4,128.181882,37.930025,6996.3404904,0.049,-0.385,0.002
1.41,128.181882,37.930071,6996.288064800001,0.049,-0.386,0.002
1.42,128.181882,37.930118,6996.2356392,0.05,-0.387,0.002
1.43,128.181882,37.930164,6996.1829088,0.051,-0.388,0.002
1.44,128.181882,37.93021,6996.129873600001,0.052,-0.39,0.002
1.45,128.181882,37.930257,6996.076838400001,0.052,-0.391,0.002
1.46,128.181882,37.930303,6996.0234984,0.053,-0.392,0.002
1.47,128.181882,37.930349,6995.9701584,0.054,-0.393,0.002
1.48,128.181882,37.930395,6995.9165136,0.054,-0.395,0.002
1.49,128.181882,37.930442,6995.862564,0.055,-0.396,0.002
1.5,128.181882,37.930488,6995.808614400001,0.056,-0.397,0.002
1.51,128.181882,37.930534,6995.754360000001,0.057,-0.398,0.002
1.52,128.181882,37.930581,6995.700105600001,0.057,-0.399,0.002
1.53,128.181882,37.930627,6995.645546400001,0.058,-0.401,0.002
1.54,128.181882,37.930673,6995.5909872,0.059,-0.402,0.002
1.55,128.181882,37.93072,6995.5361232000005,0.06,-0.403,0.002
1.56,128.181882,37.930766,6995.4809544,0.06,-0.404,0.002
1.57,128.181882,37.930813,6995.4257856,0.061,-0.405,0.002
1.58,128.181882,37.930859,6995.3706168,0.062,-0.406,0.002
1.59,128.181882,37.930905,6995.3151431999995,0.063,-0.407,0.002
1.6,128.181882,37.930952,6995.2593648,0.064,-0.409,0.002
1.61,128.181882,37.930998,6995.2035864,0.064,-0.41,0.002
1.62,128.181882,37.931045,6995.147808,0.065,-0.411,0.002
1.63,128.181882,37.931091,6995.0917248000005,0.066,-0.412,0.002
1.64,128.181882,37.931138,6995.035336800001,0.067,-0.413,0.002
1.65,128.181882,37.931184,6994.9789488,0.068,-0.414,0.002
1.66,128.181882,37.931231,6994.922560800001,0.068,-0.415,0.002
1.67,128.181882,37.931277,6994.865868,0.069,-0.417,0.002
1.68,128.181882,37.931324,6994.808870400001,0.07,-0.418,0.002
1.69,128.181882,37.93137,6994.7518728000005,0.071,-0.419,0.002
1.7,128.181882,37.931417,6994.6948752,0.072,-0.42,0.002
1.71,128.181882,37.931463,6994.6375728,0.073,-0.421,0.002
1.72,128.181882,37.93151,6994.580270400001,0.073,-0.422,0.002
1.73,128.181882,37.931556,6994.5226632,0.074,-0.423,0.002
1.74,128.181882,37.931603,6994.465056000001,0.075,-0.424,0.002
1.75,128.181882,37.931649,6994.4074488,0.076,-0.426,0.002
1.76,128.181882,37.931696,6994.3495368,0.077,-0.427,0.002
1.77,128.181882,37.931743,6994.291320000001,0.078,-0.428,0.002
1.78,128.181882,37.931789,6994.2331032,0.079,-0.429,0.002
1.79,128.181882,37.931836,6994.1748864,0.08,-0.43,0.002
1.8,128.181882,37.931883,6994.116364800001,0.081,-0.431,0.002
1.81,128.181882,37.931929,6994.0578432,0.081,-0.432,0.002
1.82,128.181882,37.931976,6993.9993216,0.082,-0.433,0.002
1.83,128.181882,37.932022,6993.9404952,0.083,-0.434,0.002
1.84,128.181882,37.932069,6993.881668800001,0.084,-0.435,0.003
1.85,128.181882,37.932116,6993.822537600001,0.085,-0.436,0.003
1.86,128.181882,37.932163,6993.763406400001,0.086,-0.437,0.003
1.87,128.181882,37.932209,6993.7042752,0.087,-0.439,0.003
1.88,128.181882,37.932256,6993.6448392,0.088,-0.44,0.003
1.89,128.181882,37.932303,6993.5854032,0.089,-0.441,0.003
1.9,128.181882,37.932349,6993.5259672,0.09,-0.442,0.003
1.91,128.181882,37.932396,6993.4662264,0.091,-0.443,0.003
1.92,128.181882,37.932443,6993.4064856,0.092,-0.444,0.003
1.93,128.181882,37.93249,6993.3467448,0.093,-0.445,0.003
1.94,128.181882,37.932536,6993.2866992,0.094,-0.446,0.003
1.95,128.181882,37.932583,6993.2266536,0.094,-0.448,0.002
1.96,128.181882,37.93263,6993.1663032,0.095,-0.449,0.002
1.97,128.181882,37.932677,6993.1059528,0.096,-0.45,0.002
1.98,128.181882,37.932724,6993.0456024,0.097,-0.451,0.002
1.99,128.181882,37.932771,6992.9849472000005,0.098,-0.452,0.003
2.0,128.181882,37.932817,6992.9245968000005,0.099,-0.453,0.003
2.01,128.181882,37.932864,6992.863636800001,0.1,-0.453,0.003
2.02,128.181882,37.932911,6992.802981600001,0.101,-0.454,0.003
2.03,128.181883,37.932958,6992.7420216,0.102,-0.455,0.003
2.04,128.181883,37.933005,6992.6810616,0.103,-0.456,0.003
2.04,128.181883,37.933052,6992.6201016,0.104,-0.457,0.003
2.06,128.181883,37.933099,6992.558836800001,0.105,-0.458,0.003
2.06,128.181883,37.933146,6992.497572,0.106,-0.459,0.003
2.08,128.181883,37.933192,6992.4363072,0.107,-0.46,0.003
2.09,128.181883,37.933239,6992.374737600001,0.108,-0.46,0.003
2.1,128.181883,37.933286,6992.313168000001,0.109,-0.461,0.003
2.11,128.181883,37.933333,6992.2515984,0.11,-0.462,0.003
2.12,128.181883,37.93338,6992.190028800001,0.111,-0.463,0.003
2.13,128.181883,37.933427,6992.1281544,0.112,-0.464,0.003
2.14,128.181883,37.933474,6992.06628,0.113,-0.465,0.003
2.15,128.181883,37.933521,6992.004405600001,0.114,-0.466,0.003
2.16,128.181883,37.933568,6991.9425312,0.115,-0.467,0.003
2.17,128.181883,37.933615,6991.880352000001,0.116,-0.468,0.003
2.18,128.181883,37.933662,6991.8181728,0.117,-0.468,0.003
2.19,128.181883,37.933709,6991.7559936,0.118,-0.469,0.003
2.2,128.181883,37.933756,6991.693509600001,0.119,-0.47,0.003
2.21,128.181883,37.933803,6991.6313304,0.12,-0.471,0.003
2.22,128.181883,37.933851,6991.5688464,0.121,-0.472,0.003
2.23,128.181883,37.933898,6991.5060576,0.122,-0.473,0.003
2.24,128.181883,37.933945,6991.4435736000005,0.123,-0.474,0.003
2.25,128.181883,37.933992,6991.3807848,0.124,-0.475,0.003
2.26,128.181883,37.934039,6991.317996000001,0.125,-0.475,0.003
2.27,128.181883,37.934086,6991.2552072,0.126,-0.476,0.003
2.28,128.181883,37.934133,6991.1924184,0.127,-0.477,0.003
2.29,128.181883,37.93418,6991.129324800001,0.128,-0.478,0.003
2.3,128.181883,37.934227,6991.0662312,0.129,-0.479,0.003
2.31,128.181883,37.934275,6991.003137600001,0.13,-0.48,0.003
2.31,128.181883,37.934322,6990.940044,0.131,-0.481,0.003
2.33,128.181883,37.934369,6990.8769504,0.132,-0.482,0.003
2.34,128.181883,37.934416,6990.8135520000005,0.133,-0.482,0.003
2.35,128.181883,37.934463,6990.7501536,0.135,-0.483,0.003
2.36,128.181883,37.934511,6990.6867552,0.136,-0.484,0.003
2.37,128.181883,37.934558,6990.623356800001,0.137,-0.485,0.003
2.38,128.181883,37.934605,6990.5596536,0.138,-0.486,0.003
2.39,128.181883,37.934652,6990.495950400001,0.139,-0.487,0.003
2.4,128.181883,37.9347,6990.432552000001,0.14,-0.488,0.003
2.41,128.181883,37.934747,6990.368544,0.141,-0.489,0.003
2.42,128.181883,37.934794,6990.3048408,0.142,-0.489,0.003
2.43,128.181883,37.934842,6990.241137600001,0.144,-0.49,0.003
2.44,128.181883,37.934889,6990.1771296,0.145,-0.491,0.003
