Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
0.0,128.181881,37.968463,7002.830292000001,0.0,-0.003,179.999
0.01,128.181881,37.968418,7002.8116992000005,0.0,-0.012,180.0
0.02,128.181881,37.968374,7002.792496800001,0.0,-0.026,180.0
0.03,128.181881,37.968329,7002.7720752,0.0,-0.042,180.0
0.04,128.181881,37.968284,7002.751044,0.0,-0.06,180.0
0.05,128.181881,37.968239,7002.7287936,0.0,-0.08,180.0
0.06,128.181881,37.968194,7002.705933600001,0.0,-0.099,180.0
0.07,128.181881,37.968149,7002.682159200001,0.0,-0.119,180.0
0.08,128.181881,37.968104,7002.657470400001,0.0,-0.137,180.0
0.09,128.181881,37.968059,7002.6315624,0.0,-0.153,180.0
0.1,128.181881,37.968014,7002.6050448000005,0.0,-0.168,180.0
0.11,128.181881,37.967969,7002.5776128,0.0,-0.18,180.0
0.12,128.181881,37.967924,7002.5492664,0.0,-0.191,180.0
0.13,128.181881,37.967879,7002.5200056,0.0,-0.2,180.0
0.14,128.181881,37.967834,7002.4901352,0.0,-0.207,180.0
0.15,128.181881,37.967788,7002.4590456000005,0.0,-0.212,180.0
0.16,128.181881,37.967743,7002.427041600001,0.0,-0.216,180.0
0.17,128.181881,37.967698,7002.3944280000005,0.0,-0.219,180.0
0.18,128.181881,37.967653,7002.360900000001,0.0,-0.222,180.0
0.19,128.181881,37.967608,7002.3264576,0.0,-0.223,180.0
0.2,128.181881,37.967563,7002.2911008,0.0,-0.224,180.0
0.21,128.181881,37.967518,7002.2551344,0.0,-0.225,180.0
0.22,128.181881,37.967473,7002.2182536,0.0,-0.225,180.0
0.23,128.181881,37.967428,7002.1804584,0.0,-0.226,180.0
0.24,128.181881,37.967383,7002.1420536000005,0.001,-0.226,180.0
0.25,128.181881,37.967337,7002.1027343999995,0.001,-0.227,180.0
0.26,128.181881,37.967292,7002.0628056000005,0.001,-0.227,180.0
0.27,128.181881,37.967247,7002.0219624,0.001,-0.228,180.0
0.28,128.181881,37.967202,7001.980509600001,0.001,-0.229,180.0
0.28,128.181881,37.967157,7001.938447200001,0.001,-0.23,180.0
0.3,128.181881,37.967111,7001.895470400001,0.001,-0.232,180.0
0.31,128.181881,37.967066,7001.851579200001,0.002,-0.233,180.0
0.32,128.181881,37.967021,7001.807383200001,0.002,-0.235,180.0
0.33,128.181881,37.966976,7001.762272800001,0.002,-0.237,180.0
0.34,128.181881,37.966931,7001.7165528,0.002,-0.239,180.0
0.35,128.181881,37.966885,7001.669918400001,0.002,-0.241,180.0
0.36,128.181881,37.96684,7001.6229792,0.002,-0.243,180.0
0.37,128.181881,37.966795,7001.5751256,0.003,-0.245,180.0
0.38,128.181881,37.96675,7001.5266624,0.003,-0.247,180.0
0.39,128.181881,37.966704,7001.4775896,0.003,-0.249,180.0
0.4,128.181881,37.966659,7001.4276024,0.003,-0.25,180.0
0.41,128.181881,37.966614,7001.377310400001,0.003,-0.252,180.0
0.42,128.181881,37.966568,7001.3264088000005,0.004,-0.254,180.0
0.43,128.181881,37.966523,7001.2745928,0.004,-0.256,180.0
0.44,128.181881,37.966478,7001.222472,0.004,-0.258,180.0
0.45,128.181881,37.966432,7001.169741600001,0.004,-0.26,180.0
0.46,128.181881,37.966387,7001.1160968,0.004,-0.261,180.0
0.47,128.181881,37.966342,7001.062147200001,0.005,-0.263,180.001
0.48,128.181881,37.966296,7001.007588,0.005,-0.265,180.001
